agent_x,agent_y,agent_vx,agent_vy,agent_heading,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,car1_rel_x,car1_rel_y,car1_rel_vx,car1_rel_vy,car2_rel_x,car2_rel_y,car2_rel_vx,car2_rel_vy,car3_rel_x,car3_rel_y,car3_rel_vx,car3_rel_vy,car4_rel_x,car4_rel_y,car4_rel_vx,car4_rel_vy,car5_rel_x,car5_rel_y,car5_rel_vx,car5_rel_vy,ped1_rel_x,ped1_rel_y,ped2_rel_x,ped2_rel_y,ped3_rel_x,ped3_rel_y,ped4_rel_x,ped4_rel_y,ped5_rel_x,ped5_rel_y,tl_red,tl_yellow,tl_green,tl_ttc,temperature,traffic_density,pedestrian_density,driver_impatience,npc_color,npc_size,roughness,action_accel,action_steer,reward,done
297.0167,415.39758,4.328494,1.9017959,-0.41397613,200.0,200.0,200.0,200.0,200.0,191.875,200.0,200.0,200.0,21.25,21.25,200.0,200.0,200.0,143.125,200.0,22.983307,-3.0777283,1.6271183e-16,-2.6572857,22.983307,113.188354,1.1782259e-16,-1.9241889,-123.27304,-85.39758,1.2959468,-0.0,-17.016693,-205.78722,2.3151075e-17,0.37808573,22.983307,210.63452,1.06707934e-16,-1.7426728,-46.516693,-65.39758,-46.516693,-65.39758,-46.516693,-65.39758,-46.516693,-65.39758,-53.427616,-138.92133,0.0,1.0,0.0,0.6333333,0,2,2,0.22035159798324078,68,3,0.25,-0.08974286168813705,1.5392197370529175,0.042611025273799896,0
301.49933,416.85318,4.4826484,1.4555932,-0.3139761,200.0,200.0,200.0,200.0,200.0,183.75,200.0,200.0,200.0,21.25,13.125,200.0,175.625,200.0,200.0,200.0,18.500671,-7.041321,1.535707e-16,-2.508,18.500671,109.86795,1.1418646e-16,-1.8648064,-126.52687,-86.85318,1.2288024,-0.0,18.500671,207.18637,1.2200766e-16,-1.9925362,-21.499329,-206.91032,2.0359064e-17,0.33248875,-50.49933,-66.85318,-50.49933,-66.85318,-50.49933,-66.85318,-50.49933,-66.85318,-57.48291,-140.11734,0.0,1.0,0.0,0.6666667,0,2,2,0.22035159798324078,68,3,0.25,0.9270372986793518,0.40162160992622375,1.0982333421707153,0
306.30457,418.20282,4.8052287,1.3496377,-0.27381396,200.0,200.0,200.0,200.0,191.875,102.5,200.0,200.0,200.0,200.0,37.5,200.0,167.5,200.0,200.0,200.0,30.719238,-24.830994,1.5484625e-16,-2.528831,13.695435,106.71106,1.1066255e-16,-1.8072566,-130.16698,-88.20282,1.1651369,-0.0,13.695435,203.92426,1.1710354e-16,-1.9124458,-26.304565,-207.96758,1.7903768e-17,0.29239073,-54.804565,-68.20282,-54.804565,-68.20282,-54.804565,-68.20282,-54.804565,-68.20282,-61.8608,-141.20741,0.0,1.0,0.0,0.7,0,2,2,0.22035159798324078,68,3,0.25,-0.45014268159866333,0.26546379923820496,1.083378791809082,0
311.0719,419.40625,4.7673454,1.2034371,-0.24726757,200.0,200.0,200.0,200.0,191.875,102.5,200.0,200.0,200.0,200.0,200.0,200.0,37.5,200.0,200.0,200.0,11.838013,-37.684357,1.3793648e-16,-2.2526739,8.928101,103.513245,1.2212105e-16,-1.9943881,-133.82954,-89.40625,1.10477,-0.0,8.928101,200.88525,1.1239653e-16,-1.8355746,-31.0719,-208.91388,1.5744582e-17,0.25712854,-59.0719,-69.40625,-59.0719,-69.40625,-59.0719,-69.40625,-59.0719,-69.40625,-66.20079,-142.15128,0.0,1.0,0.0,0.73333335,0,2,2,0.22035159798324078,68,3,0.25,1.2430797815322876,-1.889114260673523,1.100000023841858,0
315.77344,421.1079,4.7015305,1.7016488,-0.34726757,200.0,200.0,200.0,200.0,191.875,94.375,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,159.375,200.0,4.2265625,-41.512146,1.3018724e-16,-2.1261191,4.2265625,99.87872,1.1835227e-16,-1.9328393,-137.48355,-91.10791,1.0475307,-0.0,4.2265625,197.42181,1.07878725e-16,-1.7617933,-35.773438,-210.38942,1.38457925e-17,0.22611895,-63.273438,-71.10791,-63.273438,-71.10791,-63.273438,-71.10791,-63.273438,-71.10791,-70.47498,-143.59337,0.0,1.0,0.0,0.76666665,0,2,2,0.22035159798324078,68,3,0.25,1.1041926145553589,1.399584412574768,1.100000023841858,0
320.62137,422.3317,4.847924,1.2237778,-0.24726757,200.0,200.0,200.0,200.0,183.75,183.75,200.0,200.0,200.0,200.0,200.0,200.0,200.0,45.625,200.0,200.0,-0.6213684,-44.742615,1.2287335e-16,-2.006674,-0.6213684,96.78177,1.146998e-16,-1.8731899,-141.33823,-92.331696,0.993257,-0.0,-0.6213684,194.50705,1.0354251e-16,-1.6909776,-40.62137,-211.41435,1.2175995e-17,0.1988491,-67.62137,-72.331696,-67.62137,-72.331696,-67.62137,-72.331696,-67.62137,-72.331696,-74.89558,-144.55757,0.0,1.0,0.0,0.8,0,2,2,0.22035159798324078,68,3,0.25,0.7916738390922546,0.45837387442588806,1.100000023841858,0
325.52026,423.33206,4.898907,1.000354,-0.20143019,200.0,200.0,200.0,200.0,183.75,183.75,200.0,200.0,200.0,200.0,200.0,200.0,200.0,45.625,200.0,167.5,-5.5202637,-47.636932,1.1597035e-16,-1.8939395,-5.5202637,93.966034,1.1116005e-16,-1.8153814,-145.29533,-93.33206,0.9417953,-0.0,-5.5202637,191.56583,1.1884223e-16,-1.940841,-45.520264,-212.23985,1.0707576e-17,0.17486799,-72.02026,-73.33206,-72.02026,-73.33206,-72.02026,-73.33206,-72.02026,-73.33206,-79.36713,-145.29837,0.0,1.0,0.0,0.8333333,0,2,2,0.22035159798324078,68,3,0.25,0.6448902487754822,1.2920360565185547,1.1000001430511475,0
330.49457,423.83835,4.9743023,0.5062818,-0.10143019,200.0,200.0,200.0,200.0,86.25,191.875,200.0,200.0,200.0,200.0,200.0,200.0,167.5,45.625,200.0,200.0,-10.494568,-49.930756,1.0945515e-16,-1.7875383,-10.494568,91.457245,1.2261855e-16,-2.002513,-149.37663,-93.83835,0.8929999,-0.0,-10.494568,189.19669,1.1406533e-16,-1.8628284,-50.494568,-212.59236,9.416247e-18,0.15377899,-76.49457,-73.83835,-76.49457,-73.83835,-76.49457,-73.83835,-76.49457,-73.83835,-83.914085,-145.54509,0.0,1.0,0.0,0.8666667,0,2,2,0.22035159798324078,68,3,0.25,-1.2995299100875854,-0.28837621212005615,1.067000150680542,0
335.2886,424.4664,4.794034,0.62806505,-0.13026781,200.0,200.0,200.0,200.0,86.25,183.75,200.0,200.0,200.0,200.0,200.0,200.0,200.0,53.75,200.0,175.625,-15.288605,-52.24591,1.03305985e-16,-1.6871147,-15.288605,88.88846,1.1883442e-16,-1.9407133,-153.32394,-94.4664,0.8467326,-0.0,-15.288605,186.78067,1.0948046e-16,-1.7879516,-55.288605,-213.08517,8.280652e-18,0.13523331,-80.788605,-74.4664,-80.788605,-74.4664,-80.788605,-74.4664,-80.788605,-74.4664,-88.28078,-145.91357,0.0,1.0,0.0,0.9,0,2,2,0.22035159798324078,68,3,0.25,-0.5325433015823364,-1.0748449563980103,1.0494260787963867,0
339.91043,425.54987,4.6218314,1.0834769,-0.23026781,200.0,200.0,200.0,200.0,86.25,183.75,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,167.5,200.0,-19.91043,-54.921722,9.7502274e-17,-1.592333,-19.91043,85.924164,1.1516706e-16,-1.8808209,-157.14291,-95.549866,0.8028625,-0.0,-19.91043,183.98114,1.0507987e-16,-1.7160845,-59.91043,-214.04971,7.282009e-18,0.11892423,-84.91043,-75.549866,-84.91043,-75.549866,-84.91043,-75.549866,-84.91043,-75.549866,10.089569,-170.54987,0.0,1.0,0.0,0.93333334,0,2,2,0.22035159798324078,68,3,0.25,2.1366639137268066,0.24159853160381317,1.100000023841858,0
